Entity,Code,Year,Deaths
All disasters,,1900,1267470
All disasters,,1901,18
All disasters,,1902,48438
All disasters,,1903,7136
All disasters,,1904,152
All disasters,,1905,20946
All disasters,,1906,33657
All disasters,,1907,13241
All disasters,,1908,75033
All disasters,,1909,6316
All disasters,,1910,20983
All disasters,,1911,120695
All disasters,,1912,69083
All disasters,,1913,18952
All disasters,,1914,21462
All disasters,,1915,32337
All disasters,,1916,481
All disasters,,1917,23561
All disasters,,1918,11250
All disasters,,1919,5500
All disasters,,1920,706872
All disasters,,1921,1200000
All disasters,,1922,101175
All disasters,,1923,154286
All disasters,,1924,3279
All disasters,,1925,6959
All disasters,,1926,4852
All disasters,,1927,53270
All disasters,,1928,3004895
All disasters,,1929,3330
All disasters,,1930,11054
All disasters,,1931,3718976
All disasters,,1932,4901
All disasters,,1933,31442
All disasters,,1934,5711
All disasters,,1935,272119
All disasters,,1936,5886
All disasters,,1937,12450
All disasters,,1938,2208
All disasters,,1939,563205
All disasters,,1940,5656
All disasters,,1941,16997
All disasters,,1942,1608421
All disasters,,1943,1916969
All disasters,,1944,20181
All disasters,,1945,11358
All disasters,,1946,35563
All disasters,,1947,7374
All disasters,,1948,120828
All disasters,,1949,123774
All disasters,,1950,6845
All disasters,,1951,18227
All disasters,,1952,6886
All disasters,,1953,12516
All disasters,,1954,41847
All disasters,,1955,5556
All disasters,,1956,7737
All disasters,,1957,10580
All disasters,,1958,4061
All disasters,,1959,496147
All disasters,,1960,997729
All disasters,,1961,576437
All disasters,,1962,17239
All disasters,,1963,36431
All disasters,,1964,12275
All disasters,,1965,564713
All disasters,,1966,517018
All disasters,,1967,506507
All disasters,,1968,22196
All disasters,,1969,8396
All disasters,,1970,386150
All disasters,,1971,15774
All disasters,,1972,20023
All disasters,,1973,12257
All disasters,,1974,87458
All disasters,,1975,55614
All disasters,,1976,308866
All disasters,,1977,40877
All disasters,,1978,54747
All disasters,,1979,6829
All disasters,,1980,21313
All disasters,,1981,34082
All disasters,,1982,31593
All disasters,,1983,192666
