Disaster Type,Year,Code,Total Deaths,Global CO2 Emissions
All disasters,1900,0,1267470,14178.437
All disasters excluding earthquakes,1900,0,1267330,14178.437
All disasters excluding extreme temperature,1900,0,1267470,14178.437
Drought,1900,0,1261000,14178.437
Earthquake,1900,0,140,14178.437
Extreme weather,1900,0,6000,14178.437
Flood,1900,0,300,14178.437
Volcanic activity,1900,0,30,14178.437
All disasters,1901,0,18,14553.228
All disasters excluding extreme temperature,1901,0,18,14553.228
Earthquake,1901,0,18,14553.228
All disasters,1902,0,48438,14863.209
All disasters excluding earthquakes,1902,0,39290,14863.209
All disasters excluding extreme temperature,1902,0,48438,14863.209
Earthquake,1902,0,9148,14863.209
Extreme weather,1902,0,600,14863.209
Volcanic activity,1902,0,38690,14863.209
All disasters,1903,0,7136,16084.681
All disasters excluding earthquakes,1903,0,506,16084.681
All disasters excluding extreme temperature,1903,0,7136,16084.681
Drought,1903,0,0,16084.681
Dry mass movement,1903,0,76,16084.681
Earthquake,1903,0,6630,16084.681
Extreme weather,1903,0,163,16084.681
Flood,1903,0,250,16084.681
Volcanic activity,1903,0,17,16084.681
All disasters,1904,0,152,16295.482
All disasters excluding earthquakes,1904,0,0,16295.482
All disasters excluding extreme temperature,1904,0,152,16295.482
Earthquake,1904,0,152,16295.482
Extreme weather,1904,0,0,16295.482
All disasters,1905,0,20946,17258.426
All disasters excluding earthquakes,1905,0,258,17258.426
All disasters excluding extreme temperature,1905,0,20946,17258.426
Dry mass movement,1905,0,18,17258.426
Earthquake,1905,0,20688,17258.426
Extreme weather,1905,0,240,17258.426
All disasters,1906,0,33657,17993.256
All disasters excluding earthquakes,1906,0,11004,17993.256
All disasters excluding extreme temperature,1906,0,33657,17993.256
Drought,1906,0,0,17993.256
Earthquake,1906,0,22653,17993.256
Extreme weather,1906,0,10298,17993.256
Flood,1906,0,6,17993.256
Volcanic activity,1906,0,700,17993.256
All disasters,1907,0,13241,20420.33
All disasters excluding earthquakes,1907,0,0,20420.33
All disasters excluding extreme temperature,1907,0,13241,20420.33
Drought,1907,0,0,20420.33
Earthquake,1907,0,13241,20420.33
All disasters,1908,0,75033,19802.635
All disasters excluding earthquakes,1908,0,33,19802.635
All disasters excluding extreme temperature,1908,0,75033,19802.635
Dry mass movement,1908,0,33,19802.635
Earthquake,1908,0,75000,19802.635
All disasters,1909,0,6316,20490.576
All disasters excluding earthquakes,1909,0,838,20490.576
All disasters excluding extreme temperature,1909,0,6316,20490.576
Earthquake,1909,0,5478,20490.576
Extreme weather,1909,0,713,20490.576
Flood,1909,0,72,20490.576
Wet mass movement,1909,0,53,20490.576
All disasters,1910,0,20983,21399.904
All disasters excluding earthquakes,1910,0,18461,21399.904
