Disaster Type,Year,Code,Total Deaths,Global CO2 Emissions,Anomaly
All disasters,1960,0.0,997729,64213.591,0.0
All disasters excluding earthquakes,1960,0.0,977798,64213.591,0.0
All disasters excluding extreme temperature,1960,0.0,997729,64213.591,0.0
Drought,1960,0.0,0,64213.591,0.0
Earthquake,1960,0.0,19931,64213.591,0.0
Extreme weather,1960,0.0,9164,64213.591,0.0
Flood,1960,0.0,968582,64213.591,0.0
Volcanic activity,1960,0.0,0,64213.591,0.0
Wet mass movement,1960,0.0,52,64213.591,0.0
All disasters,1961,0.0,576437,64650.174,0.08
All disasters excluding earthquakes,1961,0.0,576337,64650.174,0.08
All disasters excluding extreme temperature,1961,0.0,576037,64650.174,0.08
Drought,1961,0.0,0,64650.174,0.08
Earthquake,1961,0.0,100,64650.174,0.08
Extreme temperature,1961,0.0,400,64650.174,0.08
Extreme weather,1961,0.0,12852,64650.174,0.08
Flood,1961,0.0,562919,64650.174,0.08
Wet mass movement,1961,0.0,166,64650.174,0.08
All disasters,1962,0.0,17239,67124.201,0.05
All disasters excluding earthquakes,1962,0.0,5161,67124.201,0.05
All disasters excluding extreme temperature,1962,0.0,17189,67124.201,0.05
Dry mass movement,1962,0.0,2000,67124.201,0.05
Earthquake,1962,0.0,12078,67124.201,0.05
Extreme temperature,1962,0.0,50,67124.201,0.05
Extreme weather,1962,0.0,1860,67124.201,0.05
Flood,1962,0.0,1180,67124.201,0.05
Wet mass movement,1962,0.0,71,67124.201,0.05
All disasters,1963,0.0,36431,70809.193,0.03
All disasters excluding earthquakes,1963,0.0,35046,70809.193,0.03
All disasters excluding extreme temperature,1963,0.0,36269,70809.193,0.03
Drought,1963,0.0,0,70809.193,0.03
Dry mass movement,1963,0.0,150,70809.193,0.03
Earthquake,1963,0.0,1385,70809.193,0.03
Extreme temperature,1963,0.0,162,70809.193,0.03
Extreme weather,1963,0.0,29965,70809.193,0.03
Flood,1963,0.0,1031,70809.193,0.03
Volcanic activity,1963,0.0,1705,70809.193,0.03
Wet mass movement,1963,0.0,2033,70809.193,0.03
All disasters,1964,0.0,12275,74628.806,0.0
All disasters excluding earthquakes,1964,0.0,11940,74628.806,0.0
All disasters excluding extreme temperature,1964,0.0,12275,74628.806,0.0
Drought,1964,0.0,50,74628.806,0.0
Earthquake,1964,0.0,335,74628.806,0.0
Extreme weather,1964,0.0,10655,74628.806,0.0
Flood,1964,0.0,1123,74628.806,0.0
Volcanic activity,1964,0.0,4,74628.806,0.0
Wet mass movement,1964,0.0,108,74628.806,0.0
All disasters,1965,0.0,564713,77892.564,-0.15
All disasters excluding earthquakes,1965,0.0,564018,77892.564,-0.15
All disasters excluding extreme temperature,1965,0.0,564613,77892.564,-0.15
Drought,1965,0.0,502000,77892.564,-0.15
Earthquake,1965,0.0,695,77892.564,-0.15
Extreme temperature,1965,0.0,100,77892.564,-0.15
Extreme weather,1965,0.0,59932,77892.564,-0.15
Flood,1965,0.0,1401,77892.564,-0.15
Volcanic activity,1965,0.0,355,77892.564,-0.15
Wet mass movement,1965,0.0,230,77892.564,-0.15
Wildfire,1965,0.0,0,77892.564,-0.15
All disasters,1966,0.0,517018,81547.026,-0.05
All disasters excluding earthquakes,1966,0.0,514229,81547.026,-0.05
All disasters excluding extreme temperature,1966,0.0,516756,81547.026,-0.05
Drought,1966,0.0,508000,81547.026,-0.05
Earthquake,1966,0.0,2789,81547.026,-0.05
Extreme temperature,1966,0.0,262,81547.026,-0.05
Extreme weather,1966,0.0,2327,81547.026,-0.05
Flood,1966,0.0,1923,81547.026,-0.05
Volcanic activity,1966,0.0,1088,81547.026,-0.05
Wet mass movement,1966,0.0,604,81547.026,-0.05
Wildfire,1966,0.0,25,81547.026,-0.05
All disasters,1967,0.0,506507,84078.069,-0.01
All disasters excluding earthquakes,1967,0.0,505552,84078.069,-0.01
All disasters excluding extreme temperature,1967,0.0,506507,84078.069,-0.01
Drought,1967,0.0,500199,84078.069,-0.01
Earthquake,1967,0.0,955,84078.069,-0.01
Extreme weather,1967,0.0,2255,84078.069,-0.01
Flood,1967,0.0,2446,84078.069,-0.01
Wet mass movement,1967,0.0,590,84078.069,-0.01
Wildfire,1967,0.0,62,84078.069,-0.01
All disasters,1968,0.0,22196,88658.222,-0.01
All disasters excluding earthquakes,1968,0.0,10625,88658.222,-0.01
All disasters excluding extreme temperature,1968,0.0,22043,88658.222,-0.01
Drought,1968,0.0,199,88658.222,-0.01
Earthquake,1968,0.0,11571,88658.222,-0.01
Extreme temperature,1968,0.0,153,88658.222,-0.01
Extreme weather,1968,0.0,1669,88658.222,-0.01
Flood,1968,0.0,7306,88658.222,-0.01
Volcanic activity,1968,0.0,90,88658.222,-0.01
Wet mass movement,1968,0.0,1196,88658.222,-0.01
Wildfire,1968,0.0,12,88658.222,-0.01
All disasters,1969,0.0,8396,94499.756,0.0
All disasters excluding earthquakes,1969,0.0,5016,94499.756,0.0
All disasters excluding extreme temperature,1969,0.0,8396,94499.756,0.0
Drought,1969,0.0,202,94499.756,0.0
Earthquake,1969,0.0,3380,94499.756,0.0
Extreme weather,1969,0.0,3252,94499.756,0.0
Flood,1969,0.0,1544,94499.756,0.0
Volcanic activity,1969,0.0,0,94499.756,0.0
Wet mass movement,1969,0.0,18,94499.756,0.0
Wildfire,1969,0.0,0,94499.756,0.0
All disasters,1970,0.0,386150,102053.726,0.12
All disasters excluding earthquakes,1970,0.0,307969,102053.726,0.12
All disasters excluding extreme temperature,1970,0.0,386150,102053.726,0.12
Drought,1970,0.0,0,102053.726,0.12
Earthquake,1970,0.0,78181,102053.726,0.12
Extreme weather,1970,0.0,304495,102053.726,0.12
Flood,1970,0.0,3246,102053.726,0.12
Wet mass movement,1970,0.0,228,102053.726,0.12
Wildfire,1970,0.0,0,102053.726,0.12
All disasters,1971,0.0,15774,106208.91,-0.03
All disasters excluding earthquakes,1971,0.0,14666,106208.91,-0.03
All disasters excluding extreme temperature,1971,0.0,15374,106208.91,-0.03
Drought,1971,0.0,0,106208.91,-0.03
