Entity,Code,Year,Proportion of bodies of water with good ambient water quality ,Proportion of river water bodies with good ambient water quality , Proportion of groundwater bodies with good ambient water quality , Proportion of open water bodies with good ambient water quality 
Africa (UN),,2017,71.4,57.2,77.3,66.1
Africa (UN),,2020,66.7,62.6,86.3,43.6
Africa (UN),,2023,78.8,72.9,80.8,77.5
Andorra,AND,2017,92.86,100,75,
Andorra,AND,2020,86,86,,
Andorra,AND,2023,68,68,,
Angola,AGO,2023,75.25,100,67,
Antigua and Barbuda,ATG,2020,0,,,0
Antigua and Barbuda,ATG,2023,0,,,0
Argentina,ARG,2020,17.95,0,21.88,
Argentina,ARG,2023,62.2,62.2,,
Asia (UN),,2017,76,70.3,95.9,53
Asia (UN),,2020,83.6,79.6,95.5,76.6
Asia (UN),,2023,77.7,72,87.1,79.1
Australia,AUS,2020,87.65,92,87,
Australia,AUS,2023,83.76,91,83,
Austria,AUT,2017,80.44,80.12,94.57,91.94
Austria,AUT,2020,81.77,81.42,96.24,95.56
Austria,AUT,2023,82.26,81.97,96.43,90.33
Azerbaijan,AZE,2023,56.6,57.9,,53.32
Bahamas,BHS,2017,58.82,,58.82,
Bahamas,BHS,2020,64.71,,64.71,
Bahamas,BHS,2023,64.71,,64.71,
Bahrain,BHR,2023,4.5,,4.5,
Belarus,BLR,2020,76.11,69,,92
Belarus,BLR,2023,69.22,58,,95
Belgium,BEL,2017,20.59,2.94,39.39,0
Belgium,BEL,2020,21.25,2.17,48.48,0
Belgium,BEL,2023,26.25,6.52,54.55,0
Belize,BLZ,2020,78.95,60,100,
Belize,BLZ,2023,78.95,60,100,
Benin,BEN,2020,89.42,100,88.89,100
Benin,BEN,2023,89.39,88.89,89.34,100
Bolivia,BOL,2023,55.56,55.56,,
Bosnia and Herzegovina,BIH,2017,5.79,4.89,16.67,100
Bosnia and Herzegovina,BIH,2020,30.58,28.35,94.74,100
Bosnia and Herzegovina,BIH,2023,30.58,28.35,94.74,100
Botswana,BWA,2017,50,94.74,7.69,94.44
Botswana,BWA,2020,78,90,75,
Botswana,BWA,2023,83.81,96,82,100
Brazil,BRA,2017,63.25,71.75,64.86,33.62
Brazil,BRA,2020,71.02,75.87,67.86,46.96
Brazil,BRA,2023,68.23,68.28,37.5,70.57
Bulgaria,BGR,2017,35.56,28.87,41.98,100
Bulgaria,BGR,2020,33.73,23.4,47.14,50
Bulgaria,BGR,2023,32.68,31.82,31.75,100
Burkina Faso,BFA,2020,97.7,100,95.29,100
Burkina Faso,BFA,2023,8.99,0,18.55,0
Burundi,BDI,2020,100,100,100,100
Burundi,BDI,2023,100,100,100,100
Cameroon,CMR,2023,40,50,33.33,
Canada,CAN,2020,82.19,82.19,,
Canada,CAN,2023,87.95,87.95,,
Cape Verde,CPV,2020,89,,89,
Cape Verde,CPV,2023,89,,89,
Central and Southern Asia (UN),,2017,36.7,36.7,,
Central and Southern Asia (UN),,2020,48.9,51,,38.7
Central and Southern Asia (UN),,2023,33.1,33.1,,
Chile,CHL,2017,85.64,85.64,,
Chile,CHL,2020,84.02,84.02,,
Chile,CHL,2023,73.06,67.63,76.75,
China,CHN,2017,70.84,71.8,,62.5
China,CHN,2020,86.31,87.4,,76.8
China,CHN,2023,88.52,90.2,,73.8
Colombia,COL,2023,52.58,52.58,,
Costa Rica,CRI,2020,68.48,68.48,,
Costa Rica,CRI,2023,63.92,63.92,,
Cote d'Ivoire,CIV,2020,80,66.67,,100
Cote d'Ivoire,CIV,2023,76.92,66.67,,85.71
Croatia,HRV,2017,92.31,89.8,96,100
Croatia,HRV,2020,93.33,91.49,100,75
Croatia,HRV,2023,90.91,89.8,92,100
Cyprus,CYP,2017,71.74,57.14,100,87.5
Cyprus,CYP,2020,79.25,61.9,91.67,87.5
Cyprus,CYP,2023,75,47.62,95.65,87.5
Czechia,CZE,2017,24.22,,24.22,
Czechia,CZE,2020,20.5,,20.5,
Czechia,CZE,2023,15.53,,15.53,
Democratic Republic of Congo,COD,2020,66,66,,
Democratic Republic of Congo,COD,2023,66,66,,
Denmark,DNK,2017,37.56,0,37.91,
Denmark,DNK,2020,38.3,22.22,41.18,25
Denmark,DNK,2023,29.31,,29.31,
Developing regions,,2017,70.1,69.8,80.7,47.1
Developing regions,,2020,63.1,61.8,85.2,49.6
Developing regions,,2023,69.5,63.8,81.9,63
Dominican Republic,DOM,2020,70.59,50,,88.89
Dominican Republic,DOM,2023,88.24,86.67,,100
Eastern and South-Eastern Asia (UN),,2017,77.2,72.5,95.7,49.5
Eastern and South-Eastern Asia (UN),,2020,86.9,83.5,96,81.3
Eastern and South-Eastern Asia (UN),,2023,81.6,73.5,95.2,80.8
El Salvador,SLV,2017,43.33,43.33,,
El Salvador,SLV,2020,59.68,59.68,,
El Salvador,SLV,2023,51,51,,
Estonia,EST,2017,100,100,,100
Estonia,EST,2020,75.65,86.2,100,44.2
Estonia,EST,2023,18.5,18.04,51.29,4.58
Eswatini,SWZ,2020,87.5,87.5,,
Eswatini,SWZ,2023,70,70,,
Ethiopia,ETH,2020,96.77,96.43,,100
Ethiopia,ETH,2023,72.73,85.71,,50
Europe (UN),,2017,53.8,50.3,76.2,49.1
Europe (UN),,2020,56.9,53.2,79.3,52.3
Europe (UN),,2023,51.4,46.6,77.6,51.3
Europe and Northern America (UN),,2017,53.8,50.3,76.2,49.1
Europe and Northern America (UN),,2020,55.8,52.3,79.3,51.6
Europe and Northern America (UN),,2023,51,46.4,77.6,50.9
Fiji,FJI,2017,100,100,100,100
Fiji,FJI,2020,100,100,100,
Fiji,FJI,2023,100,100,100,
Finland,FIN,2017,60.59,41.35,19.19,90.64
Finland,FIN,2020,57.18,11.21,25.97,93.97
Finland,FIN,2023,59.71,29.29,25.33,91.48
France,FRA,2017,83.53,97.79,41.08,99.28
France,FRA,2020,78.93,92.53,39.43,100
France,FRA,2023,85.26,86.19,85.4,66.22
Gabon,GAB,2020,93.55,91.3,100,100
Gabon,GAB,2023,93.55,91.3,100,100
Gambia,GMB,2023,58,,58,
Georgia,GEO,2020,92,,92,
Georgia,GEO,2023,92,,92,
Germany,DEU,2017,73.26,34.3,81.53,
Germany,DEU,2020,75.81,40.67,83.33,
Germany,DEU,2023,76.7,42.5,84.05,
Ghana,GHA,2023,83,83,,
Greece,GRC,2017,17.28,31.67,7.67,6.67
Greece,GRC,2020,16.89,24.12,12.17,16.67
Greece,GRC,2023,20.37,40.88,7.41,66.67
Guinea,GIN,2017,80.89,,80.89,
Guinea,GIN,2023,80.89,,80.89,
Guyana,GUY,2020,67.76,67.76,,
Guyana,GUY,2023,67.76,67.76,,
Hungary,HUN,2017,57.66,53.6,81.98,41.77
Hungary,HUN,2020,59.33,60.72,78.38,34.04
Hungary,HUN,2023,12.98,3.53,65.41,7.83
Iceland,ISL,2017,100,100,100,100
Iceland,ISL,2020,75,100,0,100
Iceland,ISL,2023,50,50,0,100
India,IND,2017,36.67,36.67,,
India,IND,2020,18.33,18.33,,
India,IND,2023,10,10,,
Indonesia,IDN,2023,5,5,,
Ireland,IRL,2017,61.69,56.72,91.42,45.78
Ireland,IRL,2020,59.44,53.18,92.22,50.45
Ireland,IRL,2023,58.2,50,92,69
Israel,ISR,2020,40,,50,0
Israel,ISR,2023,40,,50,0
Italy,ITA,2023,50.66,51.89,50.08,36.88
Jamaica,JAM,2017,92.08,92.08,,
Jamaica,JAM,2020,57.21,94.31,33.4,
Jamaica,JAM,2023,62.98,93.25,38.52,
Japan,JPN,2017,37.5,30,0,75
Japan,JPN,2020,35.71,30,,50
Japan,JPN,2023,57.14,60,,50
Jordan,JOR,2017,92,66.67,100,90
Jordan,JOR,2020,100,,,100
Kazakhstan,KAZ,2020,63.94,72.53,,38.71
Kazakhstan,KAZ,2023,48.86,48.86,,
