STATES,YEAR,IMORTAL TRAFFICKING,TOTAL CRIMES AGAINST WOMEN
Andhra Pradesh,2011,497,28246
Arunachal Pradesh,2011,0,171
Assam,2011,21,11503
Bihar,2011,23,10231
Chhattisgarh,2011,15,4219
Goa,2011,18,127
Gujarat,2011,46,8815
Haryana,2011,57,5491
Himachal Pradesh,2011,2,997
Jammu & Kashmir,2011,1,3146
Jharkhand,2011,15,3132
Karnataka,2011,351,9594
Kerala,2011,197,11288
Madhya Pradesh,2011,24,16599
Maharashtra,2011,390,15728
Manipur,2011,0,247
Meghalaya,2011,2,269
Mizoram,2011,8,167
Nagaland,2011,2,38
Odisha,2011,23,9433
Punjab,2011,50,2641
Rajasthan,2011,81,19888
Sikkim,2011,1,55
Tamil Nadu,2011,420,6940
Telangana,2011,0,0
Tripura,2011,2,1358
Uttar Pradesh,2011,43,22639
Uttarakhand,2011,3,996
West Bengal,2011,96,29133
A & N Islands,2011,3,51
Chandigarh,2011,1,156
D&N Haveli,2011,1,18
Daman & Diu,2011,6,11
Delhi UT,2011,33,5234
Lakshadweep,2011,0,0
Puducherry,2011,3,89
Andhra Pradesh,2012,472,28171
Arunachal Pradesh,2012,1,201
Assam,2012,30,13544
Bihar,2012,35,11229
Chhattisgarh,2012,5,4228
Goa,2012,40,200
Gujarat,2012,44,9561
Haryana,2012,69,6002
Himachal Pradesh,2012,6,912
Jammu & Kashmir,2012,3,3328
Jharkhand,2012,12,4536
Karnataka,2012,335,10366
Kerala,2012,210,10930
Madhya Pradesh,2012,13,16832
Maharashtra,2012,366,16353
Manipur,2012,15,304
Meghalaya,2012,7,255
Mizoram,2012,0,199
Nagaland,2012,4,51
Odisha,2012,24,11988
Punjab,2012,86,3238
Rajasthan,2012,99,21106
Sikkim,2012,0,68
Tamil Nadu,2012,500,7192
Telangana,2012,0,0
Tripura,2012,0,1559
Uttar Pradesh,2012,31,23569
Uttarakhand,2012,12,1067
West Bengal,2012,109,30942
A & N Islands,2012,2,49
Chandigarh,2012,0,241
D&N Haveli,2012,2,16
Daman & Diu,2012,3,11
Delhi UT,2012,24,5959
Lakshadweep,2012,0,2
Puducherry,2012,4,61
Andhra Pradesh,2013,489,32809
Arunachal Pradesh,2013,2,288
Assam,2013,18,17449
Bihar,2013,64,13609
Chhattisgarh,2013,8,7012
Goa,2013,28,440
Gujarat,2013,76,12283
Haryana,2013,63,9089
Himachal Pradesh,2013,4,1478
Jammu & Kashmir,2013,1,3509
Jharkhand,2013,11,3506
Karnataka,2013,340,12027
Kerala,2013,180,11216
Madhya Pradesh,2013,22,22061
Maharashtra,2013,289,24895
Manipur,2013,0,285
Meghalaya,2013,4,343
Mizoram,2013,0,117
Nagaland,2013,1,67
Odisha,2013,27,14713
Punjab,2013,137,4994
Rajasthan,2013,74,27933
Sikkim,2013,0,93
Tamil Nadu,2013,549,7475
Telangana,2013,0,0
Tripura,2013,0,1682
Uttar Pradesh,2013,37,32546
Uttarakhand,2013,13,1719
West Bengal,2013,104,29826
A & N Islands,2013,4,106
Chandigarh,2013,6,488
D&N Haveli,2013,2,21
Daman & Diu,2013,6,24
Delhi UT,2013,20,12888
Lakshadweep,2013,0,3
Puducherry,2013,0,86
Andhra Pradesh,2014,204,16512
Arunachal Pradesh,2014,0,351
Assam,2014,29,19139
Bihar,2014,31,15383
Chhattisgarh,2014,2,344
Goa,2014,9,488
Gujarat,2014,45,10837
Haryana,2014,43,8974
Himachal Pradesh,2014,5,1517
Jammu & Kashmir,2014,1,3321
Jharkhand,2014,11,5972
Karnataka,2014,388,13914
Kerala,2014,91,11380
Madhya Pradesh,2014,15,28678
Maharashtra,2014,202,26693
Manipur,2014,0,337
Meghalaya,2014,3,388
Mizoram,2014,0,258
Nagaland,2014,1,67
Odisha,2014,32,14606
Punjab,2014,63,5425
Rajasthan,2014,78,31151
Sikkim,2014,0,110
Tamil Nadu,2014,471,6325
Telangana,2014,192,14136
Tripura,2014,0,1615
Uttar Pradesh,2014,37,38467
Uttarakhand,2014,19,1395
West Bengal,2014,80,38299
A & N Islands,2014,1,115
Chandigarh,2014,0,432
D&N Haveli,2014,0,21
Daman & Diu,2014,8,15
Delhi UT,2014,8,15265
Lakshadweep,2014,0,4
Puducherry,2014,1,77
Andhra Pradesh,2015,204,15931
Arunachal Pradesh,2015,2,384
Assam,2015,47,23258
Bihar,2015,21,13891
Chhattisgarh,2015,4,5720
Goa,2015,3,365
Gujarat,2015,35,7762
Haryana,2015,44,9446
