Disaster Type,Year,Total Deaths,Predicted Deaths (Linear)
All disasters,1900,1267470,178387.58421119
All disasters,1901,18,177423.2664020639
All disasters,1902,48438,176458.94859293778
All disasters,1903,7136,175494.63078381144
All disasters,1904,152,174530.31297468534
All disasters,1905,20946,173565.99516555923
All disasters,1906,33657,172601.67735643312
All disasters,1907,13241,171637.35954730678
All disasters,1908,75033,170673.04173818068
All disasters,1909,6316,169708.72392905457
All disasters,1910,20983,168744.40611992823
All disasters,1911,120695,167780.08831080212
All disasters,1912,69083,166815.77050167602
All disasters,1913,18952,165851.4526925499
All disasters,1914,21462,164887.13488342357
All disasters,1915,32337,163922.81707429746
All disasters,1916,481,162958.49926517135
All disasters,1917,23561,161994.18145604501
All disasters,1918,11250,161029.8636469189
All disasters,1919,5500,160065.5458377928
All disasters,1920,706872,159101.2280286667
All disasters,1921,1200000,158136.91021954035
All disasters,1922,101175,157172.59241041425
All disasters,1923,154286,156208.27460128814
All disasters,1924,3279,155243.9567921618
All disasters,1925,6959,154279.6389830357
All disasters,1926,4852,153315.3211739096
All disasters,1927,53270,152351.00336478348
All disasters,1929,3330,150422.36774653103
All disasters,1930,11054,149458.04993740493
All disasters,1932,4901,147529.41431915248
All disasters,1933,31442,146565.09651002637
All disasters,1934,5711,145600.77870090026
All disasters,1935,272119,144636.46089177392
All disasters,1936,5886,143672.14308264782
All disasters,1937,12450,142707.8252735217
All disasters,1938,2208,141743.50746439537
All disasters,1939,563205,140779.18965526926
All disasters,1940,5656,139814.87184614316
All disasters,1941,16997,138850.55403701705
All disasters,1942,1608421,137886.2362278907
All disasters,1944,20181,135957.6006096385
All disasters,1945,11358,134993.28280051216
All disasters,1946,35563,134028.96499138605
All disasters,1947,7374,133064.64718225994
All disasters,1948,120828,132100.32937313383
All disasters,1949,123774,131136.0115640075
All disasters,1950,6845,130171.69375488139
All disasters,1951,18227,129207.37594575528
All disasters,1952,6886,128243.05813662894
All disasters,1953,12516,127278.74032750283
All disasters,1954,41847,126314.42251837673
All disasters,1955,5556,125350.10470925062
All disasters,1956,7737,124385.78690012428
All disasters,1957,10580,123421.46909099817
All disasters,1958,4061,122457.15128187207
All disasters,1959,496147,121492.83347274573
All disasters,1960,997729,120528.51566361962
All disasters,1961,576437,119564.19785449351
All disasters,1962,17239,118599.8800453674
All disasters,1963,36431,117635.56223624106
All disasters,1964,12275,116671.24442711496
All disasters,1965,564713,115706.92661798885
All disasters,1966,517018,114742.60880886251
All disasters,1967,506507,113778.2909997364
All disasters,1968,22196,112813.9731906103
All disasters,1969,8396,111849.65538148419
All disasters,1970,386150,110885.33757235785
All disasters,1971,15774,109921.01976323174
All disasters,1972,20023,108956.70195410564
All disasters,1973,12257,107992.3841449793
All disasters,1974,87458,107028.06633585319
All disasters,1975,55614,106063.74852672708
All disasters,1976,308866,105099.43071760098
All disasters,1977,40877,104135.11290847464
All disasters,1978,54747,103170.79509934853
All disasters,1979,6829,102206.47729022242
All disasters,1980,21313,101242.15948109608
All disasters,1981,34082,100277.84167196997
All disasters,1982,31593,99313.52386284387
All disasters,1983,192666,98349.20605371776
All disasters,1984,263563,97384.88824459142
All disasters,1985,129718,96420.57043546531
All disasters,1986,7303,95456.2526263392
All disasters,1987,18932,94491.93481721287
All disasters,1988,42069,93527.61700808676
All disasters,1989,10789,92563.29919896065
All disasters,1990,50963,91598.98138983455
All disasters,1991,158987,90634.6635807082
All disasters,1992,12280,89670.3457715821
All disasters,1993,21170,88706.02796245599
All disasters,1994,13085,87741.71015332965
All disasters,1995,22676,86777.39234420354
All disasters,1996,14751,85813.07453507744
All disasters,1997,18732,84848.75672595133
All disasters,1998,50368,83884.43891682499
All disasters,1999,70261,82920.12110769888
All disasters,2000,9727,81955.80329857278
All disasters,2001,31039,80991.48548944644
All disasters,2002,12157,80027.16768032033
All disasters,2003,109915,79062.84987119422
All disasters,2004,242186,78098.53206206812
All disasters,2005,89215,77134.21425294178
All disasters,2006,23865,76169.89644381567
All disasters,2007,16839,75205.57863468956
All disasters,2008,235369,74241.26082556322
All disasters,2009,10813,73276.94301643712
All disasters,2010,307735,72312.62520731101
All disasters,2011,41323,71348.3073981849
All disasters,2012,9608,70383.98958905856
All disasters,2013,21847,69419.67177993245
All disasters,2014,7975,68455.35397080635
All disasters,2015,22879,67491.03616168001
All disasters,2016,8395,66526.7183525539
All disasters,2017,9761,65562.4005434278
All disasters,2018,11665,64598.082734301686
All disasters,2019,11923,63633.76492517535
All disasters,2020,15632,62669.44711604924
All disasters,2021,10525,61705.12930692313
All disasters,2022,76100,60740.81149779679
Drought,1900,1261000,176557.02795282938
Drought,1903,0,171593.4739125371
Drought,1906,0,166629.9198722453
Drought,1907,0,164975.40185881453
Drought,1910,16990,160011.8478185227
Drought,1911,16990,158357.32980509195
Drought,1912,16990,156702.81179166166
Drought,1913,16990,155048.2937782309
Drought,1914,17040,153393.77576480014
Drought,1919,0,145121.1856976468
Drought,1920,524000,143466.66768421605
Drought,1921,1200000,141812.14967078576
Drought,1922,0,140157.631657355
Drought,1923,0,138503.11364392424
Drought,1931,0,125266.9695364791
Drought,1932,0,123612.45152304834
Drought,1933,0,121957.93350961804
Drought,1934,0,120303.41549618728
Drought,1935,0,118648.89748275653
Drought,1936,0,116994.37946932577
Drought,1937,0,115339.86145589547
Drought,1938,0,113685.34344246471
Drought,1939,0,112030.82542903395
Drought,1940,4006,110376.3074156032
Drought,1941,3995,108721.7894021729
Drought,1944,4009,103758.23536188062
Drought,1946,30000,100449.19933501957
