Disaster Type,Year,Total Deaths,Predicted Deaths (Poly)
All disasters,1900,1267470,139638.14968836308
All disasters,1901,18,139995.84875118732
All disasters,1902,48438,140361.09130251408
All disasters,1903,7136,140733.05999338627
All disasters,1904,152,141110.9374767542
All disasters,1905,20946,141493.9064041376
All disasters,1906,33657,141881.14942753315
All disasters,1907,13241,142271.84919941425
All disasters,1908,75033,142665.1883713007
All disasters,1909,6316,143060.3495951891
All disasters,1910,20983,143456.51552259922
All disasters,1911,120695,143852.86880648136
All disasters,1912,69083,144248.59209883213
All disasters,1913,18952,144642.86805021763
All disasters,1914,21462,145034.87931406498
All disasters,1915,32337,145423.80854189396
All disasters,1916,481,145808.83838570118
All disasters,1917,23561,146189.15149700642
All disasters,1918,11250,146563.93052828312
All disasters,1919,5500,146932.35813200474
All disasters,1920,706872,147293.61695873737
All disasters,1921,1200000,147646.88966190815
All disasters,1922,101175,147991.35889303684
All disasters,1923,154286,148326.2073031664
All disasters,1924,3279,148650.61754572392
All disasters,1925,6959,148963.7722722292
All disasters,1926,4852,149264.854134202
All disasters,1927,53270,149553.04578316212
All disasters,1929,3330,150087.48905432224
All disasters,1930,11054,150332.1059781313
All disasters,1932,4901,150772.0436669588
All disasters,1933,31442,150965.72973454
All disasters,1934,5711,151140.80415403843
All disasters,1935,272119,151296.44957649708
All disasters,1936,5886,151431.84865534306
All disasters,1937,12450,151546.18404114246
All disasters,1938,2208,151638.63838636875
All disasters,1939,563205,151708.3943439722
All disasters,1940,5656,151754.63456451893
All disasters,1941,16997,151776.54170000553
All disasters,1942,1608421,151773.29840385914
All disasters,1944,20181,151688.09112083912
All disasters,1945,11358,151604.49243843555
All disasters,1946,35563,151492.4739319086
All disasters,1947,7374,151351.21825230122
All disasters,1948,120828,151179.90805208683
All disasters,1949,123774,150977.72598326206
All disasters,1950,6845,150743.85469782352
All disasters,1951,18227,150477.47684776783
All disasters,1952,6886,150177.77508461475
All disasters,1953,12516,149843.93206131458
All disasters,1954,41847,149475.13042843342
All disasters,1955,5556,149070.55283939838
All disasters,1956,7737,148629.38194525242
All disasters,1957,10580,148150.8003989458
All disasters,1958,4061,147633.99085104465
All disasters,1959,496147,147078.13595449924
All disasters,1960,997729,146482.41836178303
All disasters,1961,576437,145846.02072298527
All disasters,1962,17239,145168.12569248676
All disasters,1963,36431,144447.91592085361
All disasters,1964,12275,143684.57406008244
All disasters,1965,564713,142877.28276121616
All disasters,1966,517018,142025.2246786356
All disasters,1967,506507,141127.58246338367
All disasters,1968,22196,140183.5387660265
All disasters,1969,8396,139192.27624046803
All disasters,1970,386150,138152.9775377512
All disasters,1971,15774,137064.8253093958
All disasters,1972,20023,135927.0022083521
All disasters,1973,12257,134738.6908866167
All disasters,1974,87458,133499.07399570942
All disasters,1975,55614,132207.33418715
All disasters,1976,308866,130862.6541134119
All disasters,1977,40877,129464.21642696857
All disasters,1978,54747,128011.20377886295
All disasters,1979,6829,126502.79882204533
All disasters,1980,21313,124938.18420803547
All disasters,1981,34082,123316.54258883
All disasters,1982,31593,121637.05661594868
All disasters,1983,192666,119898.9089423418
All disasters,1984,263563,118101.28221905231
All disasters,1985,129718,116243.35909807682
All disasters,1986,7303,114324.32223236561
All disasters,1987,18932,112343.35427343845
All disasters,1988,42069,110299.63787281513
All disasters,1989,10789,108192.3556829691
All disasters,1990,50963,106020.69035542011
All disasters,1991,158987,103783.82454264164
All disasters,1992,12280,101480.94089615345
All disasters,1993,21170,99111.222068429
All disasters,1994,13085,96673.85071146488
All disasters,1995,22676,94168.00947725773
All disasters,1996,14751,91592.88101732731
